state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,unemployment,poverty_log
CA,Monterey County,West,2,29.101,20.365,26.885,23.649,7.7,2.5649493574615367
CA,Napa County,West,3,16.095,18.791,32.068,33.046,4.3,2.0794415416798357
CA,Nevada County,West,4,6.668,19.6,39.33,34.402,4.8,2.3978952727983707
CA,Orange County,West,1,15.49,17.421,28.641,38.447,4.0,2.3978952727983707
CA,Placer County,West,1,5.799,19.208,38.091,36.902,4.5,1.9459101490553132
CA,Plumas County,West,7,8.09,23.857,46.114,21.939,9.7,2.5649493574615367
CA,Riverside County,West,1,19.521,25.889,33.401,21.189,6.1,2.70805020110221
CA,Sacramento County,West,1,13.221,22.403,35.093,29.284,5.4,2.772588722239781
CA,San Benito County,West,1,21.704,24.637,34.704,18.955,6.8,2.3978952727983707
CA,San Bernardino County,West,1,21.208,26.219,33.257,19.317,5.8,2.8903717578961645
CA,San Diego County,West,1,13.598,18.81,31.097,36.494,4.7,2.4849066497880004
CA,San Francisco County,West,1,12.56,12.465,20.182,54.793,3.3,2.302585092994046
CA,San Joaquin County,West,2,22.015,26.649,33.173,18.162,8.1,2.70805020110221
CA,San Luis Obispo County,West,2,9.876,19.368,36.697,34.059,4.3,2.3978952727983707
CA,San Mateo County,West,1,11.372,15.946,25.63,47.051,3.0,1.9459101490553132
CA,Santa Barbara County,West,2,19.948,17.893,29.928,32.231,5.1,2.6390573296152584
CA,Santa Clara County,West,1,12.929,14.769,23.199,49.103,3.8,2.1972245773362196
CA,Santa Cruz County,West,2,13.681,15.476,31.851,38.991,7.0,2.5649493574615367
CA,Shasta County,West,3,10.012,25.456,44.44,20.091,7.0,2.833213344056216
CA,Sierra County,West,8,10.962,26.543,42.713,19.782,7.6,2.6390573296152584
CA,Siskiyou County,West,6,11.433,25.437,40.974,22.156,8.5,2.9444389791664403
CA,Solano County,West,2,12.502,23.524,38.852,25.122,5.5,2.3978952727983707
CA,Sonoma County,West,2,12.775,19.427,34.731,33.068,4.0,2.1972245773362196
CA,Stanislaus County,West,2,22.386,28.144,32.95,16.52,8.6,2.70805020110221
CA,Sutter County,West,3,20.797,24.401,36.901,17.901,9.8,2.833213344056216
CA,Tehama County,West,4,17.092,31.096,38.006,13.806,7.1,3.044522437723423
CA,Trinity County,West,8,9.335,32.443,38.156,20.065,7.1,3.044522437723423
CA,Tulare County,West,2,31.826,25.359,28.823,13.992,11.2,3.2188758248682006
CA,Tuolumne County,West,4,10.208,28.623,41.426,19.742,6.2,2.70805020110221
CA,Ventura County,West,2,16.573,18.763,32.464,32.2,5.2,2.302585092994046
CA,Yolo County,West,1,14.361,19.23,26.385,40.024,5.9,2.9444389791664403
CA,Yuba County,West,3,17.844,24.32,42.287,15.548,8.6,2.833213344056216
CO,Adams County,West,1,17.839,28.48,31.314,22.368,3.6,2.4849066497880004
CO,Alamosa County,West,7,16.17,24.378,33.648,25.804,4.0,3.2188758248682006
CO,Arapahoe County,West,1,7.682,20.6,30.988,40.73,3.1,2.1972245773362196
CO,Archuleta County,West,7,8.634,25.606,30.828,34.931,3.3,2.4849066497880004
CO,Baca County,West,9,13.746,29.553,34.861,21.84,1.7,2.995732273553991
CO,Bent County,West,7,15.764,45.456,29.288,9.492,3.0,3.5263605246161616
CO,Boulder County,West,2,5.539,12.877,22.272,59.313,2.7,2.3978952727983707
CO,Broomfield County,West,1,3.948,15.049,28.546,52.457,2.9,1.6094379124341003
CO,Chaffee County,West,7,8.316,26.2,31.072,34.412,2.6,2.3978952727983707
CO,Cheyenne County,West,9,9.373,34.014,33.333,23.28,2.2,2.6390573296152584
CO,Clear Creek County,West,1,3.067,20.343,32.027,44.562,3.2,2.0794415416798357
CO,Conejos County,West,9,16.014,31.67,33.976,18.34,4.9,3.1354942159291497
CO,Costilla County,West,9,23.018,26.35,30.601,20.031,4.8,3.4011973816621555
CO,Crowley County,West,8,17.153,40.407,32.192,10.249,3.5,3.871201010907891
CO,Custer County,West,8,8.299,21.821,40.478,29.403,3.1,2.6390573296152584
CO,Delta County,West,6,11.989,36.905,31.499,19.606,4.9,2.8903717578961645
CO,Denver County,West,1,13.639,17.63,23.012,45.719,3.1,2.6390573296152584
CO,Dolores County,West,9,9.132,38.698,31.886,20.284,3.9,2.5649493574615367
CO,Douglas County,West,1,2.083,12.29,28.1,57.526,2.7,1.0986122886681098
CO,Eagle County,West,5,11.182,17.905,25.879,45.035,2.7,2.0794415416798357
CO,Elbert County,West,1,3.583,26.104,37.491,32.822,2.6,1.791759469228055
CO,El Paso County,West,2,6.052,20.556,36.826,36.566,3.7,2.4849066497880004
CO,Fremont County,West,4,11.272,39.2,33.131,16.397,5.2,2.8903717578961645
CO,Garfield County,West,5,13.066,28.699,29.1,29.135,3.5,2.1972245773362196
CO,Gilpin County,West,1,2.003,24.306,39.326,34.365,2.4,2.0794415416798357
CO,Grand County,West,7,4.275,25.743,32.812,37.171,2.7,2.0794415416798357
CO,Gunnison County,West,7,4.65,18.136,24.621,52.593,2.3,2.6390573296152584
CO,Hinsdale County,West,9,5.136,22.825,31.098,40.942,2.5,2.302585092994046
CO,Huerfano County,West,6,8.664,27.428,37.918,25.991,6.3,3.091042453358316
CO,Jackson County,West,9,12.21,37.235,31.483,19.072,2.7,2.6390573296152584
CO,Jefferson County,West,1,5.848,20.891,31.041,42.22,2.9,1.9459101490553132
CO,Kiowa County,West,9,7.097,35.169,37.5,20.233,2.0,2.6390573296152584
CO,Kit Carson County,West,7,16.463,38.053,31.653,13.831,2.1,2.6390573296152584
CO,Lake County,West,6,7.179,33.582,28.325,30.914,2.8,2.70805020110221
CO,La Plata County,West,4,5.195,19.305,32.501,42.998,2.9,2.3978952727983707
CO,Larimer County,West,2,4.33,19.361,31.034,45.275,2.8,2.3978952727983707
CO,Las Animas County,West,7,14.237,29.566,37.249,18.948,5.0,3.091042453358316
CO,Lincoln County,West,8,14.783,49.743,21.795,13.68,2.5,2.8903717578961645
CO,Logan County,West,7,10.658,34.228,38.399,16.716,2.9,2.772588722239781
CO,Mesa County,West,3,10.163,29.26,34.476,26.1,5.3,2.70805020110221
CO,Mineral County,West,9,3.366,21.038,33.1,42.496,2.2,2.1972245773362196
CO,Moffat County,West,7,8.921,39.949,32.261,18.868,4.0,2.5649493574615367
CO,Montezuma County,West,6,9.826,29.518,33.637,27.019,5.0,2.70805020110221
CO,Montrose County,West,4,11.209,32.097,32.912,23.782,4.1,2.772588722239781
CO,Morgan County,West,6,19.019,31.751,33.126,16.104,3.4,2.4849066497880004
CO,Otero County,West,6,14.205,28.434,40.249,17.112,4.7,3.1780538303479458
CO,Ouray County,West,9,2.206,18.155,25.146,54.492,3.7,2.1972245773362196
CO,Park County,West,1,3.701,26.029,39.792,30.479,2.8,2.1972245773362196
CO,Phillips County,West,9,10.906,32.356,36.343,20.395,2.0,2.4849066497880004
CO,Pitkin County,West,7,4.591,13.764,21.21,60.435,3.4,1.9459101490553132
CO,Prowers County,West,7,17.351,27.58,39.675,15.394,3.2,3.044522437723423
CO,Pueblo County,West,3,11.754,29.28,37.726,21.239,4.8,2.995732273553991
CO,Rio Blanco County,West,9,8.167,33.584,36.4,21.849,5.0,2.302585092994046
CO,Rio Grande County,West,7,16.624,27.408,33.402,22.567,4.9,2.8903717578961645
CO,Routt County,West,7,3.458,21.597,25.532,49.413,2.6,1.9459101490553132
CO,Saguache County,West,9,19.169,26.281,29.081,25.469,4.9,3.332204510175204
CO,San Juan County,West,9,4.595,32.604,34.354,28.446,3.5,2.772588722239781
CO,San Miguel County,West,9,6.833,14.828,23.274,55.064,3.2,2.302585092994046
CO,Sedgwick County,West,9,8.818,33.804,37.566,19.812,2.3,2.70805020110221
CO,Summit County,West,5,5.344,16.998,27.74,49.918,2.1,2.0794415416798357
CO,Teller County,West,2,5.64,25.37,36.416,32.575,3.7,2.302585092994046
CO,Washington County,West,9,8.691,34.112,41.206,15.992,2.1,2.6390573296152584
CO,Weld County,West,2,12.995,26.954,33.29,26.762,3.4,2.4849066497880004
CO,Yuma County,West,7,12.907,33.098,32.604,21.391,2.1,2.4849066497880004
CT,Fairfield County,Northeast,2,10.104,22.359,21.175,46.362,4.9,2.1972245773362196
CT,Hartford County,Northeast,1,10.736,27.182,25.215,36.866,5.4,2.3978952727983707
CT,Litchfield County,Northeast,4,8.297,29.5,28.186,34.017,4.7,1.9459101490553132
CT,Middlesex County,Northeast,1,6.153,27.194,25.724,40.928,4.5,2.0794415416798357
CT,New Haven County,Northeast,2,10.503,30.34,24.869,34.288,5.5,2.3978952727983707
CT,New London County,Northeast,2,8.433,30.845,28.306,32.416,5.1,2.1972245773362196
CT,Tolland County,Northeast,1,6.214,27.072,27.854,38.86,4.5,1.9459101490553132
CT,Windham County,Northeast,2,11.925,33.289,30.929,23.857,5.6,2.4849066497880004
DE,Kent County,South,3,13.104,33.572,30.203,23.122,4.9,2.6390573296152584
DE,New Castle County,South,1,9.539,28.9,26.131,35.429,4.4,2.3978952727983707
DE,Sussex County,South,2,13.792,34.689,27.633,23.885,4.5,2.4849066497880004
DC,District of Columbia,South,1,10.045,18.006,16.588,55.36,6.1,2.9444389791664403
FL,Alachua County,South,2,7.468,21.926,29.091,41.515,4.3,3.091042453358316
FL,Baker County,South,1,17.871,41.526,27.839,12.764,4.9,2.833213344056216
FL,Bay County,South,3,11.32,30.576,35.57,22.534,4.8,2.70805020110221
FL,Bradford County,South,6,23.213,34.765,30.242,11.779,4.2,2.9444389791664403
