state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,unemployment,poverty_log,less_than_high_school_log,high_school_diploma_log,college/associate_degree_log,unemployment_log,RUCC_reduced,region_reduced
IN,Lawrence County,Midwest,6,11.605,42.495,31.555999999999997,5.7,2.6390573296152584,2.4514360397264006,3.7493864219505895,3.451763745232843,1.7404661748405046,4-9,Northeast_Midwest
IN,Madison County,Midwest,1,12.53,39.21,30.868000000000002,5.0,2.8903717578961645,2.528125768907977,3.6689318163042404,3.4297200485953567,1.6094379124341003,1,Northeast_Midwest
IN,Marion County,Midwest,1,14.344000000000001,28.123,28.511999999999997,4.5,2.9444389791664403,2.663331736302832,3.336587746884958,3.3503250512883986,1.5040773967762742,1,Northeast_Midwest
IN,Marshall County,Midwest,6,15.527000000000001,40.580999999999996,25.361,3.7,2.4849066497880004,2.742580443999033,3.7032999767751664,3.2332125609682536,1.308332819650179,4-9,Northeast_Midwest
IN,Martin County,Midwest,7,15.612,42.81100000000001,30.201,4.1,2.4849066497880004,2.7480398493183684,3.7567950789123015,3.407875036415396,1.410986973710262,4-9,Northeast_Midwest
IN,Miami County,Midwest,6,14.905,42.641999999999996,30.517,4.7,2.772588722239781,2.7016967271300345,3.752839683072813,3.4182839053856546,1.547562508716013,4-9,Northeast_Midwest
IN,Monroe County,Midwest,3,7.773,22.65,24.433000000000003,4.6,3.1780538303479458,2.0506561902480827,3.120159851929043,3.1959346775666333,1.5260563034950492,2-3,Northeast_Midwest
IN,Montgomery County,Midwest,6,11.472999999999999,43.51,28.266,3.8,2.3978952727983707,2.439996448817006,3.772990796732589,3.341659668945959,1.33500106673234,4-9,Northeast_Midwest
IN,Morgan County,Midwest,1,11.585999999999999,42.108000000000004,30.776,4.2,2.3978952727983707,2.4497974726744323,3.7402377463890786,3.426735165449994,1.4350845252893227,1,Northeast_Midwest
IN,Newton County,Midwest,1,14.174000000000001,46.486999999999995,28.795,5.6,2.4849066497880004,2.6514093003880643,3.83917270361389,3.3602017609586357,1.7227665977411035,1,Northeast_Midwest
IN,Noble County,Midwest,6,15.302999999999999,41.074,29.478,4.1,2.3978952727983707,2.728048887608899,3.715375317917901,3.383644222414566,1.410986973710262,4-9,Northeast_Midwest
IN,Ohio County,Midwest,1,11.405,46.784,27.965,4.9,2.302585092994046,2.4340518557363513,3.8455412641273132,3.3309537282735513,1.589235205116581,1,Northeast_Midwest
IN,Orange County,Midwest,6,16.662,45.05,26.381999999999998,5.1,2.772588722239781,2.8131306775527176,3.807772984054347,3.272681959426728,1.62924053973028,4-9,Northeast_Midwest
IN,Owen County,Midwest,3,15.727,43.188,29.076,5.6,2.6390573296152584,2.7553789805085884,3.765562678884894,3.369913091622389,1.7227665977411035,2-3,Northeast_Midwest
IN,Parke County,Midwest,6,14.529000000000002,42.349,31.337,5.2,2.772588722239781,2.676146652089202,3.7459448080683924,3.4447995080320344,1.6486586255873816,4-9,Northeast_Midwest
IN,Perry County,Midwest,6,13.036,51.122,22.416,4.6,2.7080502011022096,2.5677147609753153,3.934214932934643,3.1097749895946514,1.5260563034950492,4-9,Northeast_Midwest
IN,Pike County,Midwest,8,13.7,45.902,27.787,4.3,2.3978952727983707,2.617395832834079,3.826508689101974,3.324568285426222,1.4586150226995167,4-9,Northeast_Midwest
IN,Porter County,Midwest,1,8.267999999999999,34.936,30.67,5.1,2.079441541679836,2.112392641819522,3.55351781618326,3.4232849781261603,1.62924053973028,1,Northeast_Midwest
IN,Posey County,Midwest,2,5.683,38.823,34.931999999999995,3.9,2.19722457733622,1.7374792623149844,3.6590128545076426,3.5534033145514865,1.3609765531356006,2-3,Northeast_Midwest
IN,Pulaski County,Midwest,6,12.931,46.048,30.351999999999997,4.5,2.4849066497880004,2.5596275293137145,3.8296843307049575,3.4128624131926584,1.5040773967762742,4-9,Northeast_Midwest
IN,Putnam County,Midwest,1,11.595999999999998,41.568000000000005,31.802,4.5,2.5649493574615367,2.450660211059409,3.727330640488189,3.4595291808902053,1.5040773967762742,1,Northeast_Midwest
IN,Randolph County,Midwest,6,13.604000000000001,43.651,29.675,4.5,2.7080502011022096,2.610363867144949,3.7762261915306383,3.390304940495732,1.5040773967762742,4-9,Northeast_Midwest
IN,Ripley County,Midwest,6,13.202,43.211000000000006,26.146,4.6,2.4849066497880004,2.580368333266579,3.766095092467072,3.2636962151396682,1.5260563034950492,4-9,Northeast_Midwest
IN,Rush County,Midwest,6,15.399000000000001,47.893,22.68,3.8,2.6390573296152584,2.7343025722462757,3.868969355950646,3.121483478859551,1.33500106673234,4-9,Northeast_Midwest
IN,St. Joseph County,Midwest,2,12.286,30.909000000000002,28.559,4.5,2.772588722239781,2.5084604027417354,3.4310474036310405,3.351972122852777,1.5040773967762742,2-3,Northeast_Midwest
IN,Scott County,Midwest,1,15.390999999999998,42.641999999999996,28.979,4.8,2.772588722239781,2.733782922997817,3.752839683072813,3.3665714297409255,1.5686159179138452,1,Northeast_Midwest
IN,Shelby County,Midwest,1,12.257,42.996,28.113000000000003,4.0,2.4849066497880004,2.506097202359028,3.7611070881108173,3.3362321028097965,1.3862943611198906,1,Northeast_Midwest
IN,Spencer County,Midwest,8,10.578,43.992,30.104,4.1,2.19722457733622,2.358776372643788,3.7840077992055137,3.404658053291136,1.410986973710262,4-9,Northeast_Midwest
IN,Starke County,Midwest,6,17.131,41.443999999999996,29.814,5.4,2.772588722239781,2.8408896877483216,3.724343118389505,3.3949780818482385,1.6863989535702288,4-9,Northeast_Midwest
IN,Steuben County,Midwest,7,11.522,38.001,30.531,3.7,2.3978952727983707,2.4442582513101914,3.6376124751696053,3.418742560877904,1.308332819650179,4-9,Northeast_Midwest
IN,Sullivan County,Midwest,3,13.624,42.695,31.02,5.9,2.6390573296152584,2.6118329433603873,3.7540818173595696,3.4346321577483927,1.7749523509116738,2-3,Northeast_Midwest
IN,Switzerland County,Midwest,8,17.284000000000002,48.303000000000004,26.139,4.9,2.8332133440562166,2.849781218069687,3.877493670530911,3.2634284519172594,1.589235205116581,4-9,Northeast_Midwest
IN,Tippecanoe County,Midwest,3,9.261000000000001,26.589000000000002,28.873,4.1,2.8903717578961645,2.2258120341881322,3.2804975964243708,3.362906902373827,1.410986973710262,2-3,Northeast_Midwest
IN,Tipton County,Midwest,6,11.743,39.365,27.833000000000002,3.8,2.19722457733622,2.463257318382944,3.6728770966364306,3.3262223670690827,1.33500106673234,4-9,Northeast_Midwest
IN,Union County,Midwest,1,11.842,44.652,24.95,4.0,2.5649493574615367,2.4716525341095843,3.798899099152486,3.2168738221975275,1.3862943611198906,1,Northeast_Midwest
IN,Vanderburgh County,Midwest,2,10.22,33.783,31.095,4.1,2.8332133440562166,2.3243465847755584,3.519957717382998,3.4370470345558526,1.410986973710262,2-3,Northeast_Midwest
IN,Vermillion County,Midwest,3,11.015,45.258,30.743000000000002,6.6,2.5649493574615367,2.3992579802543066,3.8123794500995487,3.4256623260616683,1.8870696490323797,2-3,Northeast_Midwest
IN,Vigo County,Midwest,3,12.314,32.993,31.517,5.4,2.8903717578961645,2.510736826489018,3.4962954177534726,3.4505270827950225,1.6863989535702288,2-3,Northeast_Midwest
IN,Wabash County,Midwest,6,12.057,42.005,27.641,4.3,2.4849066497880004,2.4896454041351737,3.7377886588168105,3.319300177695081,1.4586150226995167,4-9,Northeast_Midwest
IN,Warren County,Midwest,8,9.031,43.193000000000005,28.209,4.8,2.19722457733622,2.2006631032686617,3.7656784450836085,3.3396410759630495,1.5686159179138452,4-9,Northeast_Midwest
IN,Warrick County,Midwest,2,7.178999999999999,32.908,31.914,4.0,2.079441541679836,1.971160097594346,3.493715789306684,3.4630447849882358,1.3862943611198906,2-3,Northeast_Midwest
IN,Washington County,Midwest,1,14.489,45.64,27.164,4.6,2.6390573296152584,2.6733897408385854,3.8207845249938748,3.301892567251545,1.5260563034950492,1,Northeast_Midwest
IN,Wayne County,Midwest,5,15.269,39.185,28.410999999999998,4.8,2.8332133440562166,2.725824629201375,3.668294020504828,3.346776394120267,1.5686159179138452,4-9,Northeast_Midwest
IN,Wells County,Midwest,2,8.812000000000001,40.379,33.413000000000004,3.6,2.302585092994046,2.176114428940097,3.698309847843023,3.50894504581248,1.2809338454620642,2-3,Northeast_Midwest
IN,White County,Midwest,6,10.395,43.208999999999996,30.712,4.0,2.3978952727983707,2.341324921309976,3.7660488068850224,3.4246534576984966,1.3862943611198906,4-9,Northeast_Midwest
IN,Whitley County,Midwest,2,9.855,41.373999999999995,30.480999999999998,3.9,2.19722457733622,2.2879789406046838,3.7226526642208575,3.417103538679212,1.3609765531356006,2-3,Northeast_Midwest
IA,Adair County,Midwest,8,6.6160000000000005,43.20399999999999,33.611,2.9,2.3978952727983707,1.8894909577213903,3.7659330835562277,3.5148533943440885,1.0647107369924282,4-9,Northeast_Midwest
IA,Adams County,Midwest,9,7.5329999999999995,40.102,35.662,2.6,2.4849066497880004,2.0192933688435577,3.6914262083805123,3.574085696111855,0.9555114450274363,4-9,Northeast_Midwest
IA,Allamakee County,Midwest,6,11.873,40.359,30.739,4.9,2.5649493574615367,2.474266914683655,3.697814418171516,3.4255322066769494,1.589235205116581,4-9,Northeast_Midwest
IA,Appanoose County,Midwest,7,10.123,35.665,36.089,4.7,2.9444389791664403,2.3148100626166146,3.5741698157300013,3.585988109764298,1.547562508716013,4-9,Northeast_Midwest
IA,Audubon County,Midwest,8,10.433,42.372,34.054,3.3,2.3978952727983707,2.3449738594858323,3.7464877667342495,3.527947499998452,1.1939224684724346,4-9,Northeast_Midwest
IA,Benton County,Midwest,2,7.222,35.745,35.28,3.6,2.079441541679836,1.977131922855266,3.576410399218815,3.5633162311385904,1.2809338454620642,2-3,Northeast_Midwest
IA,Black Hawk County,Midwest,3,9.177999999999999,32.7,31.141,4.6,2.772588722239781,2.216809315972642,3.487375077903208,3.438525278928133,1.5260563034950492,2-3,Northeast_Midwest
IA,Boone County,Midwest,6,5.566,34.402,37.59,2.8,2.19722457733622,1.716676663103699,3.538114702224199,3.6267380575760866,1.0296194171811581,4-9,Northeast_Midwest
IA,Bremer County,Midwest,3,4.6930000000000005,34.5,32.954,3.6,1.9459101490553128,1.5460720368122807,3.5409593240373143,3.4951126496352396,1.2809338454620642,2-3,Northeast_Midwest
IA,Buchanan County,Midwest,6,7.684,40.585,33.732,4.1,2.302585092994046,2.03914024490631,3.703398540213139,3.518446941712395,1.410986973710262,4-9,Northeast_Midwest
IA,Buena Vista County,Midwest,7,21.766,30.539,28.997,3.5,2.4849066497880004,3.08034911927387,3.419004555312021,3.36719237635947,1.252762968495368,4-9,Northeast_Midwest
IA,Butler County,Midwest,8,8.111,40.336999999999996,35.882,4.3,2.302585092994046,2.0932211650882078,3.6972691618875593,3.5802357769971924,1.4586150226995167,4-9,Northeast_Midwest
IA,Calhoun County,Midwest,9,7.756,36.368,37.501999999999995,3.8,2.4849066497880004,2.0484667373804055,3.5936892671101877,3.6243942648875267,1.33500106673234,4-9,Northeast_Midwest
IA,Carroll County,Midwest,7,7.064,39.451,32.059,2.6,2.19722457733622,1.9550114633016589,3.675059395513073,3.4675779551790336,0.9555114450274363,4-9,Northeast_Midwest
IA,Cass County,Midwest,6,9.693999999999999,42.798,27.677,3.3,2.5649493574615367,2.271507137423184,3.756491372523956,3.320601743372879,1.1939224684724346,4-9,Northeast_Midwest
IA,Cedar County,Midwest,6,6.643,36.187,35.123000000000005,3.3,1.9459101490553128,1.893563668683104,3.5886999383120255,3.5588561865310155,1.1939224684724346,4-9,Northeast_Midwest
IA,Cerro Gordo County,Midwest,5,6.7139999999999995,31.418000000000003,40.008,3.6,2.4849066497880004,1.9041948985578432,3.447380977077748,3.6890794341166027,1.2809338454620642,4-9,Northeast_Midwest
